text,clean_text,topic,year,sentiment
The committee acknowledges the successful implementation of land reform programmes across provinces.,the committee acknowledges the successful implementation of land reform programmes across provinces,Land Reform,2023,positive
The department submitted its digital transformation quarterly report as required.,the department submitted its digital transformation quarterly report as required,Digital Transformation,2019,neutral
The mismanagement of digital transformation funds has led to widespread service delivery failures.,the mismanagement of digital transformation funds has led to widespread service delivery failures,Digital Transformation,2021,negative
The failure to address economic growth is deeply concerning. Communities continue to suffer.,the failure to address economic growth is deeply concerning communities continue to suffer,Economic Growth,2019,negative
The department submitted its education policy quarterly report as required.,the department submitted its education policy quarterly report as required,Education Policy,2020,neutral
The committee acknowledges the successful implementation of housing policy programmes across provinces.,the committee acknowledges the successful implementation of housing policy programmes across provinces,Housing Policy,2021,positive
A briefing on water infrastructure was provided to the portfolio committee members.,a briefing on water infrastructure was provided to the portfolio committee members,Water Infrastructure,2020,neutral
"Despite promises, education policy remains in crisis. Urgent intervention is required.",despite promises education policy remains in crisis urgent intervention is required,Education Policy,2021,negative
The department submitted its economic growth quarterly report as required.,the department submitted its economic growth quarterly report as required,Economic Growth,2023,neutral
I am pleased to report that water infrastructure initiatives have yielded positive results for our communities.,i am pleased to report that water infrastructure initiatives have yielded positive results for our communities,Water Infrastructure,2022,positive
The failure to address digital transformation is deeply concerning. Communities continue to suffer.,the failure to address digital transformation is deeply concerning communities continue to suffer,Digital Transformation,2020,negative
The department submitted its economic growth quarterly report as required.,the department submitted its economic growth quarterly report as required,Economic Growth,2022,neutral
The mismanagement of housing policy funds has led to widespread service delivery failures.,the mismanagement of housing policy funds has led to widespread service delivery failures,Housing Policy,2023,negative
The minister presented statistics on energy crisis for the current financial year.,the minister presented statistics on energy crisis for the current financial year,Energy Crisis,2020,neutral
Members debated various aspects of land reform policy during the session.,members debated various aspects of land reform policy during the session,Land Reform,2022,neutral
Members debated various aspects of crime prevention policy during the session.,members debated various aspects of crime prevention policy during the session,Crime Prevention,2020,neutral
The failure to address digital transformation is deeply concerning. Communities continue to suffer.,the failure to address digital transformation is deeply concerning communities continue to suffer,Digital Transformation,2020,negative
The committee acknowledges the successful implementation of education policy programmes across provinces.,the committee acknowledges the successful implementation of education policy programmes across provinces,Education Policy,2022,positive
The department submitted its energy crisis quarterly report as required.,the department submitted its energy crisis quarterly report as required,Energy Crisis,2023,neutral
A briefing on housing policy was provided to the portfolio committee members.,a briefing on housing policy was provided to the portfolio committee members,Housing Policy,2019,neutral
The progress on digital transformation demonstrates our commitment to building a better South Africa.,the progress on digital transformation demonstrates our commitment to building a better south africa,Digital Transformation,2021,positive
The committee reviewed the housing policy report and noted the findings for further discussion.,the committee reviewed the housing policy report and noted the findings for further discussion,Housing Policy,2021,neutral
The committee reviewed the crime prevention report and noted the findings for further discussion.,the committee reviewed the crime prevention report and noted the findings for further discussion,Crime Prevention,2022,neutral
The department submitted its education policy quarterly report as required.,the department submitted its education policy quarterly report as required,Education Policy,2021,neutral
A briefing on transport budget was provided to the portfolio committee members.,a briefing on transport budget was provided to the portfolio committee members,Transport Budget,2020,neutral
The committee acknowledges the successful implementation of transport budget programmes across provinces.,the committee acknowledges the successful implementation of transport budget programmes across provinces,Transport Budget,2019,positive
We condemn the lack of progress on energy crisis. The government must be held accountable.,we condemn the lack of progress on energy crisis the government must be held accountable,Energy Crisis,2021,negative
The budget cuts to water infrastructure are unacceptable and will harm vulnerable populations.,the budget cuts to water infrastructure are unacceptable and will harm vulnerable populations,Water Infrastructure,2020,negative
"Despite promises, education policy remains in crisis. Urgent intervention is required.",despite promises education policy remains in crisis urgent intervention is required,Education Policy,2021,negative
We welcome the increased budget allocation for land reform. This will benefit many South Africans.,we welcome the increased budget allocation for land reform this will benefit many south africans,Land Reform,2019,positive
The government has made significant progress in economic growth this year. We commend the efforts.,the government has made significant progress in economic growth this year we commend the efforts,Economic Growth,2019,positive
The progress on economic growth demonstrates our commitment to building a better South Africa.,the progress on economic growth demonstrates our commitment to building a better south africa,Economic Growth,2020,positive
The government has made significant progress in education policy this year. We commend the efforts.,the government has made significant progress in education policy this year we commend the efforts,Education Policy,2022,positive
The mismanagement of education policy funds has led to widespread service delivery failures.,the mismanagement of education policy funds has led to widespread service delivery failures,Education Policy,2022,negative
The mismanagement of housing policy funds has led to widespread service delivery failures.,the mismanagement of housing policy funds has led to widespread service delivery failures,Housing Policy,2019,negative
The mismanagement of water infrastructure funds has led to widespread service delivery failures.,the mismanagement of water infrastructure funds has led to widespread service delivery failures,Water Infrastructure,2021,negative
I am pleased to report that education policy initiatives have yielded positive results for our communities.,i am pleased to report that education policy initiatives have yielded positive results for our communities,Education Policy,2021,positive
Members debated various aspects of education policy policy during the session.,members debated various aspects of education policy policy during the session,Education Policy,2020,neutral
The budget cuts to economic growth are unacceptable and will harm vulnerable populations.,the budget cuts to economic growth are unacceptable and will harm vulnerable populations,Economic Growth,2020,negative
The committee acknowledges the successful implementation of energy crisis programmes across provinces.,the committee acknowledges the successful implementation of energy crisis programmes across provinces,Energy Crisis,2023,positive
We welcome the increased budget allocation for digital transformation. This will benefit many South Africans.,we welcome the increased budget allocation for digital transformation this will benefit many south africans,Digital Transformation,2020,positive
I am pleased to report that education policy initiatives have yielded positive results for our communities.,i am pleased to report that education policy initiatives have yielded positive results for our communities,Education Policy,2022,positive
The committee reviewed the water infrastructure report and noted the findings for further discussion.,the committee reviewed the water infrastructure report and noted the findings for further discussion,Water Infrastructure,2019,neutral
The progress on water infrastructure demonstrates our commitment to building a better South Africa.,the progress on water infrastructure demonstrates our commitment to building a better south africa,Water Infrastructure,2021,positive
The committee acknowledges the successful implementation of housing policy programmes across provinces.,the committee acknowledges the successful implementation of housing policy programmes across provinces,Housing Policy,2023,positive
The minister presented statistics on land reform for the current financial year.,the minister presented statistics on land reform for the current financial year,Land Reform,2020,neutral
A briefing on housing policy was provided to the portfolio committee members.,a briefing on housing policy was provided to the portfolio committee members,Housing Policy,2021,neutral
Members debated various aspects of energy crisis policy during the session.,members debated various aspects of energy crisis policy during the session,Energy Crisis,2023,neutral
The mismanagement of water infrastructure funds has led to widespread service delivery failures.,the mismanagement of water infrastructure funds has led to widespread service delivery failures,Water Infrastructure,2019,negative
We welcome the increased budget allocation for land reform. This will benefit many South Africans.,we welcome the increased budget allocation for land reform this will benefit many south africans,Land Reform,2021,positive
A briefing on healthcare budget was provided to the portfolio committee members.,a briefing on healthcare budget was provided to the portfolio committee members,Healthcare Budget,2023,neutral
A briefing on digital transformation was provided to the portfolio committee members.,a briefing on digital transformation was provided to the portfolio committee members,Digital Transformation,2021,neutral
We condemn the lack of progress on energy crisis. The government must be held accountable.,we condemn the lack of progress on energy crisis the government must be held accountable,Energy Crisis,2019,negative
I am pleased to report that crime prevention initiatives have yielded positive results for our communities.,i am pleased to report that crime prevention initiatives have yielded positive results for our communities,Crime Prevention,2022,positive
Members debated various aspects of economic growth policy during the session.,members debated various aspects of economic growth policy during the session,Economic Growth,2019,neutral
Members debated various aspects of housing policy policy during the session.,members debated various aspects of housing policy policy during the session,Housing Policy,2019,neutral
We condemn the lack of progress on land reform. The government must be held accountable.,we condemn the lack of progress on land reform the government must be held accountable,Land Reform,2019,negative
We welcome the increased budget allocation for transport budget. This will benefit many South Africans.,we welcome the increased budget allocation for transport budget this will benefit many south africans,Transport Budget,2021,positive
We condemn the lack of progress on digital transformation. The government must be held accountable.,we condemn the lack of progress on digital transformation the government must be held accountable,Digital Transformation,2023,negative
The department submitted its water infrastructure quarterly report as required.,the department submitted its water infrastructure quarterly report as required,Water Infrastructure,2020,neutral
The failure to address digital transformation is deeply concerning. Communities continue to suffer.,the failure to address digital transformation is deeply concerning communities continue to suffer,Digital Transformation,2020,negative
A briefing on crime prevention was provided to the portfolio committee members.,a briefing on crime prevention was provided to the portfolio committee members,Crime Prevention,2020,neutral
The committee acknowledges the successful implementation of water infrastructure programmes across provinces.,the committee acknowledges the successful implementation of water infrastructure programmes across provinces,Water Infrastructure,2023,positive
I am pleased to report that transport budget initiatives have yielded positive results for our communities.,i am pleased to report that transport budget initiatives have yielded positive results for our communities,Transport Budget,2021,positive
The mismanagement of transport budget funds has led to widespread service delivery failures.,the mismanagement of transport budget funds has led to widespread service delivery failures,Transport Budget,2020,negative
We condemn the lack of progress on education policy. The government must be held accountable.,we condemn the lack of progress on education policy the government must be held accountable,Education Policy,2022,negative
The government has made significant progress in healthcare budget this year. We commend the efforts.,the government has made significant progress in healthcare budget this year we commend the efforts,Healthcare Budget,2021,positive
I am pleased to report that land reform initiatives have yielded positive results for our communities.,i am pleased to report that land reform initiatives have yielded positive results for our communities,Land Reform,2021,positive
A briefing on crime prevention was provided to the portfolio committee members.,a briefing on crime prevention was provided to the portfolio committee members,Crime Prevention,2021,neutral
Members debated various aspects of education policy policy during the session.,members debated various aspects of education policy policy during the session,Education Policy,2021,neutral
The committee reviewed the water infrastructure report and noted the findings for further discussion.,the committee reviewed the water infrastructure report and noted the findings for further discussion,Water Infrastructure,2023,neutral
The committee acknowledges the successful implementation of digital transformation programmes across provinces.,the committee acknowledges the successful implementation of digital transformation programmes across provinces,Digital Transformation,2022,positive
The minister presented statistics on land reform for the current financial year.,the minister presented statistics on land reform for the current financial year,Land Reform,2019,neutral
The mismanagement of healthcare budget funds has led to widespread service delivery failures.,the mismanagement of healthcare budget funds has led to widespread service delivery failures,Healthcare Budget,2020,negative
The government has made significant progress in transport budget this year. We commend the efforts.,the government has made significant progress in transport budget this year we commend the efforts,Transport Budget,2019,positive
The committee reviewed the transport budget report and noted the findings for further discussion.,the committee reviewed the transport budget report and noted the findings for further discussion,Transport Budget,2020,neutral
The progress on water infrastructure demonstrates our commitment to building a better South Africa.,the progress on water infrastructure demonstrates our commitment to building a better south africa,Water Infrastructure,2020,positive
We welcome the increased budget allocation for land reform. This will benefit many South Africans.,we welcome the increased budget allocation for land reform this will benefit many south africans,Land Reform,2020,positive
The budget cuts to land reform are unacceptable and will harm vulnerable populations.,the budget cuts to land reform are unacceptable and will harm vulnerable populations,Land Reform,2021,negative
The government has made significant progress in education policy this year. We commend the efforts.,the government has made significant progress in education policy this year we commend the efforts,Education Policy,2020,positive
The budget cuts to water infrastructure are unacceptable and will harm vulnerable populations.,the budget cuts to water infrastructure are unacceptable and will harm vulnerable populations,Water Infrastructure,2022,negative
The mismanagement of housing policy funds has led to widespread service delivery failures.,the mismanagement of housing policy funds has led to widespread service delivery failures,Housing Policy,2019,negative
We condemn the lack of progress on economic growth. The government must be held accountable.,we condemn the lack of progress on economic growth the government must be held accountable,Economic Growth,2019,negative
We condemn the lack of progress on transport budget. The government must be held accountable.,we condemn the lack of progress on transport budget the government must be held accountable,Transport Budget,2021,negative
The committee reviewed the transport budget report and noted the findings for further discussion.,the committee reviewed the transport budget report and noted the findings for further discussion,Transport Budget,2020,neutral
The mismanagement of water infrastructure funds has led to widespread service delivery failures.,the mismanagement of water infrastructure funds has led to widespread service delivery failures,Water Infrastructure,2020,negative
The committee acknowledges the successful implementation of water infrastructure programmes across provinces.,the committee acknowledges the successful implementation of water infrastructure programmes across provinces,Water Infrastructure,2020,positive
The minister presented statistics on water infrastructure for the current financial year.,the minister presented statistics on water infrastructure for the current financial year,Water Infrastructure,2022,neutral
The budget cuts to healthcare budget are unacceptable and will harm vulnerable populations.,the budget cuts to healthcare budget are unacceptable and will harm vulnerable populations,Healthcare Budget,2019,negative
Members debated various aspects of healthcare budget policy during the session.,members debated various aspects of healthcare budget policy during the session,Healthcare Budget,2021,neutral
"Despite promises, water infrastructure remains in crisis. Urgent intervention is required.",despite promises water infrastructure remains in crisis urgent intervention is required,Water Infrastructure,2019,negative
The failure to address economic growth is deeply concerning. Communities continue to suffer.,the failure to address economic growth is deeply concerning communities continue to suffer,Economic Growth,2020,negative
The minister presented statistics on digital transformation for the current financial year.,the minister presented statistics on digital transformation for the current financial year,Digital Transformation,2020,neutral
The department submitted its digital transformation quarterly report as required.,the department submitted its digital transformation quarterly report as required,Digital Transformation,2021,neutral
The minister presented statistics on healthcare budget for the current financial year.,the minister presented statistics on healthcare budget for the current financial year,Healthcare Budget,2021,neutral
The government has made significant progress in water infrastructure this year. We commend the efforts.,the government has made significant progress in water infrastructure this year we commend the efforts,Water Infrastructure,2023,positive
The failure to address crime prevention is deeply concerning. Communities continue to suffer.,the failure to address crime prevention is deeply concerning communities continue to suffer,Crime Prevention,2022,negative
The progress on digital transformation demonstrates our commitment to building a better South Africa.,the progress on digital transformation demonstrates our commitment to building a better south africa,Digital Transformation,2022,positive
The progress on education policy demonstrates our commitment to building a better South Africa.,the progress on education policy demonstrates our commitment to building a better south africa,Education Policy,2021,positive
I am pleased to report that housing policy initiatives have yielded positive results for our communities.,i am pleased to report that housing policy initiatives have yielded positive results for our communities,Housing Policy,2022,positive
The progress on crime prevention demonstrates our commitment to building a better South Africa.,the progress on crime prevention demonstrates our commitment to building a better south africa,Crime Prevention,2019,positive
We welcome the increased budget allocation for transport budget. This will benefit many South Africans.,we welcome the increased budget allocation for transport budget this will benefit many south africans,Transport Budget,2019,positive
The minister presented statistics on digital transformation for the current financial year.,the minister presented statistics on digital transformation for the current financial year,Digital Transformation,2023,neutral
The department submitted its economic growth quarterly report as required.,the department submitted its economic growth quarterly report as required,Economic Growth,2021,neutral
We welcome the increased budget allocation for healthcare budget. This will benefit many South Africans.,we welcome the increased budget allocation for healthcare budget this will benefit many south africans,Healthcare Budget,2022,positive
The minister presented statistics on housing policy for the current financial year.,the minister presented statistics on housing policy for the current financial year,Housing Policy,2023,neutral
I am pleased to report that digital transformation initiatives have yielded positive results for our communities.,i am pleased to report that digital transformation initiatives have yielded positive results for our communities,Digital Transformation,2019,positive
The progress on transport budget demonstrates our commitment to building a better South Africa.,the progress on transport budget demonstrates our commitment to building a better south africa,Transport Budget,2021,positive
The failure to address crime prevention is deeply concerning. Communities continue to suffer.,the failure to address crime prevention is deeply concerning communities continue to suffer,Crime Prevention,2019,negative
The mismanagement of land reform funds has led to widespread service delivery failures.,the mismanagement of land reform funds has led to widespread service delivery failures,Land Reform,2019,negative
The failure to address digital transformation is deeply concerning. Communities continue to suffer.,the failure to address digital transformation is deeply concerning communities continue to suffer,Digital Transformation,2020,negative
The department submitted its housing policy quarterly report as required.,the department submitted its housing policy quarterly report as required,Housing Policy,2021,neutral
The committee reviewed the housing policy report and noted the findings for further discussion.,the committee reviewed the housing policy report and noted the findings for further discussion,Housing Policy,2019,neutral
The budget cuts to energy crisis are unacceptable and will harm vulnerable populations.,the budget cuts to energy crisis are unacceptable and will harm vulnerable populations,Energy Crisis,2020,negative
"Despite promises, transport budget remains in crisis. Urgent intervention is required.",despite promises transport budget remains in crisis urgent intervention is required,Transport Budget,2021,negative
We welcome the increased budget allocation for transport budget. This will benefit many South Africans.,we welcome the increased budget allocation for transport budget this will benefit many south africans,Transport Budget,2020,positive
The department submitted its digital transformation quarterly report as required.,the department submitted its digital transformation quarterly report as required,Digital Transformation,2019,neutral
The mismanagement of healthcare budget funds has led to widespread service delivery failures.,the mismanagement of healthcare budget funds has led to widespread service delivery failures,Healthcare Budget,2021,negative
"Despite promises, digital transformation remains in crisis. Urgent intervention is required.",despite promises digital transformation remains in crisis urgent intervention is required,Digital Transformation,2023,negative
The department submitted its crime prevention quarterly report as required.,the department submitted its crime prevention quarterly report as required,Crime Prevention,2020,neutral
The minister presented statistics on land reform for the current financial year.,the minister presented statistics on land reform for the current financial year,Land Reform,2020,neutral
A briefing on education policy was provided to the portfolio committee members.,a briefing on education policy was provided to the portfolio committee members,Education Policy,2021,neutral
The progress on education policy demonstrates our commitment to building a better South Africa.,the progress on education policy demonstrates our commitment to building a better south africa,Education Policy,2019,positive
The minister presented statistics on transport budget for the current financial year.,the minister presented statistics on transport budget for the current financial year,Transport Budget,2022,neutral
The committee acknowledges the successful implementation of economic growth programmes across provinces.,the committee acknowledges the successful implementation of economic growth programmes across provinces,Economic Growth,2023,positive
We condemn the lack of progress on digital transformation. The government must be held accountable.,we condemn the lack of progress on digital transformation the government must be held accountable,Digital Transformation,2020,negative
A briefing on crime prevention was provided to the portfolio committee members.,a briefing on crime prevention was provided to the portfolio committee members,Crime Prevention,2020,neutral
A briefing on healthcare budget was provided to the portfolio committee members.,a briefing on healthcare budget was provided to the portfolio committee members,Healthcare Budget,2023,neutral
The committee acknowledges the successful implementation of water infrastructure programmes across provinces.,the committee acknowledges the successful implementation of water infrastructure programmes across provinces,Water Infrastructure,2023,positive
"Despite promises, education policy remains in crisis. Urgent intervention is required.",despite promises education policy remains in crisis urgent intervention is required,Education Policy,2020,negative
Members debated various aspects of housing policy policy during the session.,members debated various aspects of housing policy policy during the session,Housing Policy,2021,neutral
A briefing on transport budget was provided to the portfolio committee members.,a briefing on transport budget was provided to the portfolio committee members,Transport Budget,2022,neutral
We welcome the increased budget allocation for crime prevention. This will benefit many South Africans.,we welcome the increased budget allocation for crime prevention this will benefit many south africans,Crime Prevention,2022,positive
The government has made significant progress in energy crisis this year. We commend the efforts.,the government has made significant progress in energy crisis this year we commend the efforts,Energy Crisis,2021,positive
Members debated various aspects of economic growth policy during the session.,members debated various aspects of economic growth policy during the session,Economic Growth,2019,neutral
The progress on housing policy demonstrates our commitment to building a better South Africa.,the progress on housing policy demonstrates our commitment to building a better south africa,Housing Policy,2020,positive
The mismanagement of energy crisis funds has led to widespread service delivery failures.,the mismanagement of energy crisis funds has led to widespread service delivery failures,Energy Crisis,2022,negative
The committee acknowledges the successful implementation of water infrastructure programmes across provinces.,the committee acknowledges the successful implementation of water infrastructure programmes across provinces,Water Infrastructure,2019,positive
I am pleased to report that digital transformation initiatives have yielded positive results for our communities.,i am pleased to report that digital transformation initiatives have yielded positive results for our communities,Digital Transformation,2020,positive
The failure to address energy crisis is deeply concerning. Communities continue to suffer.,the failure to address energy crisis is deeply concerning communities continue to suffer,Energy Crisis,2023,negative
The mismanagement of water infrastructure funds has led to widespread service delivery failures.,the mismanagement of water infrastructure funds has led to widespread service delivery failures,Water Infrastructure,2023,negative
The minister presented statistics on energy crisis for the current financial year.,the minister presented statistics on energy crisis for the current financial year,Energy Crisis,2022,neutral
A briefing on land reform was provided to the portfolio committee members.,a briefing on land reform was provided to the portfolio committee members,Land Reform,2022,neutral
The minister presented statistics on crime prevention for the current financial year.,the minister presented statistics on crime prevention for the current financial year,Crime Prevention,2023,neutral
The mismanagement of energy crisis funds has led to widespread service delivery failures.,the mismanagement of energy crisis funds has led to widespread service delivery failures,Energy Crisis,2019,negative
"Despite promises, land reform remains in crisis. Urgent intervention is required.",despite promises land reform remains in crisis urgent intervention is required,Land Reform,2020,negative
The committee acknowledges the successful implementation of economic growth programmes across provinces.,the committee acknowledges the successful implementation of economic growth programmes across provinces,Economic Growth,2023,positive
Members debated various aspects of education policy policy during the session.,members debated various aspects of education policy policy during the session,Education Policy,2022,neutral
The government has made significant progress in housing policy this year. We commend the efforts.,the government has made significant progress in housing policy this year we commend the efforts,Housing Policy,2019,positive
I am pleased to report that crime prevention initiatives have yielded positive results for our communities.,i am pleased to report that crime prevention initiatives have yielded positive results for our communities,Crime Prevention,2021,positive
We welcome the increased budget allocation for energy crisis. This will benefit many South Africans.,we welcome the increased budget allocation for energy crisis this will benefit many south africans,Energy Crisis,2023,positive
The minister presented statistics on crime prevention for the current financial year.,the minister presented statistics on crime prevention for the current financial year,Crime Prevention,2020,neutral
The committee reviewed the energy crisis report and noted the findings for further discussion.,the committee reviewed the energy crisis report and noted the findings for further discussion,Energy Crisis,2019,neutral
"Despite promises, energy crisis remains in crisis. Urgent intervention is required.",despite promises energy crisis remains in crisis urgent intervention is required,Energy Crisis,2019,negative
We condemn the lack of progress on economic growth. The government must be held accountable.,we condemn the lack of progress on economic growth the government must be held accountable,Economic Growth,2023,negative
The failure to address housing policy is deeply concerning. Communities continue to suffer.,the failure to address housing policy is deeply concerning communities continue to suffer,Housing Policy,2023,negative
The budget cuts to housing policy are unacceptable and will harm vulnerable populations.,the budget cuts to housing policy are unacceptable and will harm vulnerable populations,Housing Policy,2020,negative
The minister presented statistics on transport budget for the current financial year.,the minister presented statistics on transport budget for the current financial year,Transport Budget,2019,neutral
The committee reviewed the economic growth report and noted the findings for further discussion.,the committee reviewed the economic growth report and noted the findings for further discussion,Economic Growth,2019,neutral
"Despite promises, transport budget remains in crisis. Urgent intervention is required.",despite promises transport budget remains in crisis urgent intervention is required,Transport Budget,2022,negative
"Despite promises, education policy remains in crisis. Urgent intervention is required.",despite promises education policy remains in crisis urgent intervention is required,Education Policy,2020,negative
The failure to address education policy is deeply concerning. Communities continue to suffer.,the failure to address education policy is deeply concerning communities continue to suffer,Education Policy,2019,negative
Members debated various aspects of education policy policy during the session.,members debated various aspects of education policy policy during the session,Education Policy,2020,neutral
We condemn the lack of progress on economic growth. The government must be held accountable.,we condemn the lack of progress on economic growth the government must be held accountable,Economic Growth,2020,negative
The government has made significant progress in healthcare budget this year. We commend the efforts.,the government has made significant progress in healthcare budget this year we commend the efforts,Healthcare Budget,2022,positive
The budget cuts to housing policy are unacceptable and will harm vulnerable populations.,the budget cuts to housing policy are unacceptable and will harm vulnerable populations,Housing Policy,2021,negative
The failure to address economic growth is deeply concerning. Communities continue to suffer.,the failure to address economic growth is deeply concerning communities continue to suffer,Economic Growth,2019,negative
A briefing on healthcare budget was provided to the portfolio committee members.,a briefing on healthcare budget was provided to the portfolio committee members,Healthcare Budget,2020,neutral
The budget cuts to energy crisis are unacceptable and will harm vulnerable populations.,the budget cuts to energy crisis are unacceptable and will harm vulnerable populations,Energy Crisis,2021,negative
We condemn the lack of progress on energy crisis. The government must be held accountable.,we condemn the lack of progress on energy crisis the government must be held accountable,Energy Crisis,2020,negative
I am pleased to report that land reform initiatives have yielded positive results for our communities.,i am pleased to report that land reform initiatives have yielded positive results for our communities,Land Reform,2022,positive
The progress on healthcare budget demonstrates our commitment to building a better South Africa.,the progress on healthcare budget demonstrates our commitment to building a better south africa,Healthcare Budget,2022,positive
The minister presented statistics on transport budget for the current financial year.,the minister presented statistics on transport budget for the current financial year,Transport Budget,2020,neutral
The mismanagement of water infrastructure funds has led to widespread service delivery failures.,the mismanagement of water infrastructure funds has led to widespread service delivery failures,Water Infrastructure,2023,negative
"Despite promises, water infrastructure remains in crisis. Urgent intervention is required.",despite promises water infrastructure remains in crisis urgent intervention is required,Water Infrastructure,2021,negative
The progress on healthcare budget demonstrates our commitment to building a better South Africa.,the progress on healthcare budget demonstrates our commitment to building a better south africa,Healthcare Budget,2021,positive
A briefing on housing policy was provided to the portfolio committee members.,a briefing on housing policy was provided to the portfolio committee members,Housing Policy,2021,neutral
The mismanagement of digital transformation funds has led to widespread service delivery failures.,the mismanagement of digital transformation funds has led to widespread service delivery failures,Digital Transformation,2023,negative
We welcome the increased budget allocation for economic growth. This will benefit many South Africans.,we welcome the increased budget allocation for economic growth this will benefit many south africans,Economic Growth,2019,positive
The department submitted its education policy quarterly report as required.,the department submitted its education policy quarterly report as required,Education Policy,2020,neutral
"Despite promises, housing policy remains in crisis. Urgent intervention is required.",despite promises housing policy remains in crisis urgent intervention is required,Housing Policy,2022,negative
The failure to address energy crisis is deeply concerning. Communities continue to suffer.,the failure to address energy crisis is deeply concerning communities continue to suffer,Energy Crisis,2020,negative
We condemn the lack of progress on land reform. The government must be held accountable.,we condemn the lack of progress on land reform the government must be held accountable,Land Reform,2022,negative
We condemn the lack of progress on crime prevention. The government must be held accountable.,we condemn the lack of progress on crime prevention the government must be held accountable,Crime Prevention,2022,negative
The minister presented statistics on healthcare budget for the current financial year.,the minister presented statistics on healthcare budget for the current financial year,Healthcare Budget,2020,neutral
We welcome the increased budget allocation for land reform. This will benefit many South Africans.,we welcome the increased budget allocation for land reform this will benefit many south africans,Land Reform,2023,positive
The failure to address land reform is deeply concerning. Communities continue to suffer.,the failure to address land reform is deeply concerning communities continue to suffer,Land Reform,2023,negative
Members debated various aspects of land reform policy during the session.,members debated various aspects of land reform policy during the session,Land Reform,2022,neutral
The progress on healthcare budget demonstrates our commitment to building a better South Africa.,the progress on healthcare budget demonstrates our commitment to building a better south africa,Healthcare Budget,2023,positive
The progress on transport budget demonstrates our commitment to building a better South Africa.,the progress on transport budget demonstrates our commitment to building a better south africa,Transport Budget,2022,positive
We condemn the lack of progress on housing policy. The government must be held accountable.,we condemn the lack of progress on housing policy the government must be held accountable,Housing Policy,2022,negative
The government has made significant progress in water infrastructure this year. We commend the efforts.,the government has made significant progress in water infrastructure this year we commend the efforts,Water Infrastructure,2021,positive
The mismanagement of transport budget funds has led to widespread service delivery failures.,the mismanagement of transport budget funds has led to widespread service delivery failures,Transport Budget,2021,negative
"Despite promises, crime prevention remains in crisis. Urgent intervention is required.",despite promises crime prevention remains in crisis urgent intervention is required,Crime Prevention,2022,negative
We condemn the lack of progress on water infrastructure. The government must be held accountable.,we condemn the lack of progress on water infrastructure the government must be held accountable,Water Infrastructure,2021,negative
The mismanagement of land reform funds has led to widespread service delivery failures.,the mismanagement of land reform funds has led to widespread service delivery failures,Land Reform,2020,negative
The committee reviewed the digital transformation report and noted the findings for further discussion.,the committee reviewed the digital transformation report and noted the findings for further discussion,Digital Transformation,2019,neutral
We welcome the increased budget allocation for crime prevention. This will benefit many South Africans.,we welcome the increased budget allocation for crime prevention this will benefit many south africans,Crime Prevention,2021,positive
We welcome the increased budget allocation for education policy. This will benefit many South Africans.,we welcome the increased budget allocation for education policy this will benefit many south africans,Education Policy,2022,positive
"Despite promises, transport budget remains in crisis. Urgent intervention is required.",despite promises transport budget remains in crisis urgent intervention is required,Transport Budget,2023,negative
A briefing on crime prevention was provided to the portfolio committee members.,a briefing on crime prevention was provided to the portfolio committee members,Crime Prevention,2022,neutral
We welcome the increased budget allocation for economic growth. This will benefit many South Africans.,we welcome the increased budget allocation for economic growth this will benefit many south africans,Economic Growth,2023,positive
The department submitted its healthcare budget quarterly report as required.,the department submitted its healthcare budget quarterly report as required,Healthcare Budget,2019,neutral
The committee acknowledges the successful implementation of energy crisis programmes across provinces.,the committee acknowledges the successful implementation of energy crisis programmes across provinces,Energy Crisis,2019,positive
The progress on economic growth demonstrates our commitment to building a better South Africa.,the progress on economic growth demonstrates our commitment to building a better south africa,Economic Growth,2021,positive
We condemn the lack of progress on education policy. The government must be held accountable.,we condemn the lack of progress on education policy the government must be held accountable,Education Policy,2022,negative
The minister presented statistics on energy crisis for the current financial year.,the minister presented statistics on energy crisis for the current financial year,Energy Crisis,2021,neutral
The failure to address healthcare budget is deeply concerning. Communities continue to suffer.,the failure to address healthcare budget is deeply concerning communities continue to suffer,Healthcare Budget,2023,negative
We condemn the lack of progress on water infrastructure. The government must be held accountable.,we condemn the lack of progress on water infrastructure the government must be held accountable,Water Infrastructure,2021,negative
The department submitted its water infrastructure quarterly report as required.,the department submitted its water infrastructure quarterly report as required,Water Infrastructure,2022,neutral
A briefing on energy crisis was provided to the portfolio committee members.,a briefing on energy crisis was provided to the portfolio committee members,Energy Crisis,2020,neutral
The government has made significant progress in water infrastructure this year. We commend the efforts.,the government has made significant progress in water infrastructure this year we commend the efforts,Water Infrastructure,2023,positive
Members debated various aspects of water infrastructure policy during the session.,members debated various aspects of water infrastructure policy during the session,Water Infrastructure,2023,neutral
The minister presented statistics on education policy for the current financial year.,the minister presented statistics on education policy for the current financial year,Education Policy,2020,neutral
The government has made significant progress in digital transformation this year. We commend the efforts.,the government has made significant progress in digital transformation this year we commend the efforts,Digital Transformation,2020,positive
A briefing on digital transformation was provided to the portfolio committee members.,a briefing on digital transformation was provided to the portfolio committee members,Digital Transformation,2019,neutral
The committee reviewed the housing policy report and noted the findings for further discussion.,the committee reviewed the housing policy report and noted the findings for further discussion,Housing Policy,2022,neutral
